CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000178,60,40,55,0.3
LS-THC-G1-2-E1-10-00B-3030-00000179,60,40,56,0.3
LS-THC-G1-2-E1-10-00B-3030-00000180,60,40,57,0.3
LS-THC-G1-2-E1-10-00B-3030-00000181,60,40,58,0.3
LS-THC-G1-2-E1-10-00B-3030-00000182,60,40,59,0.3
LS-THC-G1-2-E1-10-00B-3030-00000183,60,40,60,0.3
LS-THC-G1-2-E1-10-00B-3030-00000184,60,40,0,0.4
LS-THC-G1-2-E1-10-00B-3030-00000185,60,40,1,0.4
LS-THC-G1-2-E1-10-00B-3030-00000186,60,40,2,0.4
LS-THC-G1-2-E1-10-00B-3030-00000187,60,40,3,0.4
LS-THC-G1-2-E1-10-00B-3030-00000188,60,40,4,0.4
LS-THC-G1-2-E1-10-00B-3030-00000189,60,40,5,0.4
LS-THC-G1-2-E1-10-00B-3030-00000190,60,40,6,0.4
LS-THC-G1-2-E1-10-00B-3030-00000191,60,40,7,0.4
LS-THC-G1-2-E1-10-00B-3030-00000192,60,40,8,0.4
LS-THC-G1-2-E1-10-00B-3030-00000193,60,40,9,0.4
LS-THC-G1-2-E1-10-00B-3030-00000194,60,40,10,0.4
LS-THC-G1-2-E1-10-00B-3030-00000195,60,40,11,0.4
LS-THC-G1-2-E1-10-00B-3030-00000196,60,40,12,0.4
LS-THC-G1-2-E1-10-00B-3030-00000197,60,40,13,0.4
LS-THC-G1-2-E1-10-00B-3030-00000198,60,40,14,0.4
LS-THC-G1-2-E1-10-00B-3030-00000199,60,40,15,0.4
LS-THC-G1-2-E1-10-00B-3030-00000200,60,40,16,0.4
LS-THC-G1-2-E1-10-00B-3030-00000201,60,40,17,0.4
LS-THC-G1-2-E1-10-00B-3030-00000202,60,40,18,0.4
LS-THC-G1-2-E1-10-00B-3030-00000203,60,40,19,0.4
LS-THC-G1-2-E1-10-00B-3030-00000204,60,40,20,0.4
LS-THC-G1-2-E1-10-00B-3030-00000205,60,40,21,0.4
LS-THC-G1-2-E1-10-00B-3030-00000206,60,40,22,0.4
LS-THC-G1-2-E1-10-00B-3030-00000207,60,40,23,0.4
LS-THC-G1-2-E1-10-00B-3030-00000208,60,40,24,0.4
LS-THC-G1-2-E1-10-00B-3030-00000209,60,40,25,0.4
LS-THC-G1-2-E1-10-00B-3030-00000210,60,40,26,0.4
LS-THC-G1-2-E1-10-00B-3030-00000211,60,40,27,0.4
LS-THC-G1-2-E1-10-00B-3030-00000212,60,40,28,0.4
LS-THC-G1-2-E1-10-00B-3030-00000213,60,40,29,0.4
LS-THC-G1-2-E1-10-00B-3030-00000214,60,40,30,0.4
LS-THC-G1-2-E1-10-00B-3030-00000215,60,40,31,0.4
LS-THC-G1-2-E1-10-00B-3030-00000216,60,40,32,0.4
LS-THC-G1-2-E1-10-00B-3030-00000217,60,40,33,0.4
LS-THC-G1-2-E1-10-00B-3030-00000218,60,40,34,0.4
LS-THC-G1-2-E1-10-00B-3030-00000219,60,40,35,0.4
LS-THC-G1-2-E1-10-00B-3030-00000220,60,40,36,0.4
LS-THC-G1-2-E1-10-00B-3030-00000221,60,40,37,0.4
LS-THC-G1-2-E1-10-00B-3030-00000222,60,40,38,0.4
LS-THC-G1-2-E1-10-00B-3030-00000223,60,40,39,0.4
LS-THC-G1-2-E1-10-00B-3030-00000224,60,40,40,0.4
LS-THC-G1-2-E1-10-00B-3030-00000225,60,40,41,0.4
LS-THC-G1-2-E1-10-00B-3030-00000226,60,40,42,0.4
LS-THC-G1-2-E1-10-00B-3030-00000227,60,40,43,0.4
LS-THC-G1-2-E1-10-00B-3030-00000228,60,40,44,0.4
LS-THC-G1-2-E1-10-00B-3030-00000229,60,40,45,0.4
LS-THC-G1-2-E1-10-00B-3030-00000230,60,40,46,0.4
LS-THC-G1-2-E1-10-00B-3030-00000231,60,40,47,0.4
LS-THC-G1-2-E1-10-00B-3030-00000232,60,40,48,0.4
LS-THC-G1-2-E1-10-00B-3030-00000233,60,40,49,0.4
LS-THC-G1-2-E1-10-00B-3030-00000234,60,40,50,0.4
LS-THC-G1-2-E1-10-00B-3030-00000235,60,40,51,0.4
LS-THC-G1-2-E1-10-00B-3030-00000236,60,40,52,0.4
LS-THC-G1-2-E1-10-00B-3030-00000237,60,40,53,0.4
LS-THC-G1-2-E1-10-00B-3030-00000238,60,40,54,0.4
LS-THC-G1-2-E1-10-00B-3030-00000239,60,40,55,0.4
LS-THC-G1-2-E1-10-00B-3030-00000240,60,40,56,0.4
LS-THC-G1-2-E1-10-00B-3030-00000241,60,40,57,0.4
LS-THC-G1-2-E1-10-00B-3030-00000242,60,40,58,0.4
LS-THC-G1-2-E1-10-00B-3030-00000243,60,40,59,0.4
LS-THC-G1-2-E1-10-00B-3030-00000244,60,40,60,0.4
LS-THC-G1-2-E1-10-00B-3030-00000245,60,40,0,0.5
LS-THC-G1-2-E1-10-00B-3030-00000246,60,40,1,0.5
LS-THC-G1-2-E1-10-00B-3030-00000247,60,40,2,0.5
LS-THC-G1-2-E1-10-00B-3030-00000248,60,40,3,0.5
LS-THC-G1-2-E1-10-00B-3030-00000249,60,40,4,0.5
LS-THC-G1-2-E1-10-00B-3030-00000250,60,40,5,0.5
LS-THC-G1-2-E1-10-00B-3030-00000251,60,40,6,0.5
LS-THC-G1-2-E1-10-00B-3030-00000252,60,40,7,0.5
LS-THC-G1-2-E1-10-00B-3030-00000253,60,40,8,0.5
LS-THC-G1-2-E1-10-00B-3030-00000254,60,40,9,0.5
LS-THC-G1-2-E1-10-00B-3030-00000255,60,40,10,0.5
LS-THC-G1-2-E1-10-00B-3030-00000256,60,40,11,0.5
LS-THC-G1-2-E1-10-00B-3030-00000257,60,40,12,0.5
LS-THC-G1-2-E1-10-00B-3030-00000258,60,40,13,0.5
LS-THC-G1-2-E1-10-00B-3030-00000259,60,40,14,0.5
LS-THC-G1-2-E1-10-00B-3030-00000260,60,40,15,0.5
LS-THC-G1-2-E1-10-00B-3030-00000261,60,40,16,0.5
LS-THC-G1-2-E1-10-00B-3030-00000262,60,40,17,0.5
LS-THC-G1-2-E1-10-00B-3030-00000263,60,40,18,0.5
